model,target,ccc_mean,ccc_std,accuracy,balanced_accuracy,macro_f1,binary_threshold,n_seeds,split,run,note
PPG_only,valence,0.076,0.010,,,,0.625,3,participant_holdout,matched_row_nsegment,matched-row PPG-only (same 3270 eval rows as B0/B1/B2); class metrics not reported
PPG_only,arousal,0.063,0.080,,,,0.625,3,participant_holdout,matched_row_nsegment,matched-row PPG-only (same 3270 eval rows as B0/B1/B2); class metrics not reported
PPG_only,cognitive_load,0.151,0.140,,,,0.625,3,participant_holdout,matched_row_nsegment,matched-row PPG-only (same 3270 eval rows as B0/B1/B2); class metrics not reported
B0_context_only,valence,0.509,0.029,0.704,0.686,0.671,0.625,3,participant_holdout,target_routed_title_final,context-only for all targets
B0_context_only,arousal,0.501,0.024,0.746,0.708,0.687,0.625,3,participant_holdout,target_routed_title_final,context-only for all targets
B0_context_only,cognitive_load,0.647,0.093,0.778,0.850,0.680,0.625,3,participant_holdout,target_routed_title_final,context-only for all targets
B1_uniform_fusion,valence,0.532,0.071,0.688,0.656,0.653,0.625,3,participant_holdout,target_routed_title_final,uniform context+PPG for all targets
B1_uniform_fusion,arousal,0.440,0.033,0.705,0.672,0.639,0.625,3,participant_holdout,target_routed_title_final,uniform context+PPG for all targets
B1_uniform_fusion,cognitive_load,0.485,0.166,0.778,0.605,0.517,0.625,3,participant_holdout,target_routed_title_final,uniform context+PPG for all targets
B2_target_routed,valence,0.509,0.029,0.704,0.686,0.671,0.625,3,participant_holdout,target_routed_title_final,proposed: frozen context-only valence
B2_target_routed,arousal,0.456,0.038,0.743,0.720,0.702,0.625,3,participant_holdout,target_routed_title_final,proposed: context+PPG direct fusion
B2_target_routed,cognitive_load,0.492,0.207,0.815,0.782,0.624,0.625,3,participant_holdout,target_routed_title_final,proposed: context+PPG direct fusion
